time,iface,rxpps,txpps,rxkBps,txkBps
10:36:52,enp8s0,0.00,0.00,0.00,0.00
10:36:53,enp8s0,9.00,3.00,0.64,0.51
10:36:54,enp8s0,6.00,2.00,0.43,0.32
10:36:55,enp8s0,3.00,1.00,0.24,0.18
10:36:56,enp8s0,2.00,2.00,0.15,0.36
10:36:57,enp8s0,5.00,0.00,0.32,0.00
10:36:58,enp8s0,4.00,0.00,0.23,0.00
10:36:59,enp8s0,4.00,0.00,0.45,0.00
10:37:00,enp8s0,3.00,0.00,0.39,0.00
10:37:01,enp8s0,6.00,0.00,0.38,0.00
10:37:02,enp8s0,86.00,82.00,8.30,7.85
10:37:03,enp8s0,94.00,92.00,8.95,8.80
10:37:04,enp8s0,98.00,95.00,9.27,9.09
10:37:05,enp8s0,102.00,96.00,9.54,9.19
10:37:06,enp8s0,100.00,98.00,9.50,9.38
10:37:07,enp8s0,35.00,33.00,3.28,3.16
10:37:08,enp8s0,2.00,0.00,0.12,0.00
10:37:09,enp8s0,6.00,0.00,0.35,0.00
10:37:10,enp8s0,1.00,0.00,0.06,0.00
10:37:11,enp8s0,1.00,0.00,0.06,0.00
